Folder,LoadBalancer,Language,Framework,Database
casanje,nginx,NestJS,unknown,Postgres
cassiano-manuelzinho-golang,nginx,go,unknown,postgres
cassiano-matheuszinho-java,custom,java,spring,postgres
cassiano-pedrinho-rust,nginx,rust,axum,postgres
cesar-rodrigues,nginx,php,unknown,mongodb
chipytux,nginx,python,unknown,postgres
claudio-silva,nginx,java,unknown,postgres
claudioavgo,nginx,unknown,quarkus,postgres
cleidiano,nginx,kotlin,unknown,postgres
cleitinif,haproxy,golang,unknown,postgres
cleverson-flask,nginx,Python,unknown,postgres
cleverton-rocha,nginx,typescript,unknown,postgresql
cleverton-rocha-java,nginx,java,spring,postgresql
crebitojs,nginx,Node.js,unknown,Postgres
cristiano182,nginx,NodeJS,unknown,PostgresSQL
daandrn-php,nginx,php,unknown,postgres
dagneifilho,nginx,.NET,unknown,PostgreSQL
daniel-goncalves,nginx,java,spring,postgres
danielmorello-java,nginx,java,spring,postgres
danielwisky,nginx,java,unknown,postgres
danilo-nodejs,nginx,nodejs,unknown,postgres
daniloflorenzano,nginx,dotnet,unknown,postgres
daniloraisi,traefik,go,unknown,postgres
danilosilva,nginx,csharp,aspnet,mongodb
danilosiqueira,custom,unknown,unknown,unknown
davi-figs-python,nginx,python,fastapi,postgresql
david-silva,nginx,java,unknown,postgres
ddanielsantos,nginx,rust,unknown,postgresql
ddanielvaz,nginx,rust,warp,postgresql
ddanielvaz-cpp-qt,custom,cpp,unknown,PostgreSQL
ddd-nodejs,nginx,NodeJS,hyper-express,Postgres
delzin,custom,nodejs,unknown,postgres
deno-cassiogangrel,custom,unknown,deno,postgres
densyy-bun,custom,unknown,bun,postgres
devblack21,nginx,java,unknown,postgres
devkemc-node,nginx,node,unknown,postgres
diego-coronel,nginx,kotlin,quarkus,postgres
diegoalexandrooliveira,nginx,java,unknown,postgres
diegomarques-springboot,nginx,java,unknown,postgres
diegorsousa-spring-native,nginx,java,unknown,postgres
diogoviana,nginx,ruby,sinatra,SQLite
dionesvfreitas,nginx,typescript,unknown,postgres
direisc,nginx,node,unknown,postgres
dksedlak,nginx,Golang,unknown,PostgreSQL
doceazedo,custom,unknown,SvelteKit,PostgreSQL
dowingows-phalcon-php,nginx,php,unknown,postgres
dreamagici4n,nginx,node,express,mongodb
dridev,custom,go,unknown,postgres
dridev_java,nginx,java,unknown,postgres
droderuan,nginx,node.js,express,postgres
dscamargo,nginx,golang,unknown,postgresql
dscorzoni-django,custom,python,unknown,postgresql
dscorzoni-fastapi,custom,python,fastapi,postgresql
dsinmsdj,custom,perl,unknown,postgres
duke-bank,nginx,java,unknown,postgresql
ecsbjunior-actix-rust,nginx,rust,actix_web,postgres
ed1000,nginx,java,unknown,postgres
eddcp-nodejs,nginx,nodejs,fastify,postgres
edersonlima-dotnet8,nginx,C#,unknown,postgresql
edimarlnx,haproxy,go,unknown,postgres
Edmar-Sousa,nginx,php,unknown,postgres
edubarbieri,custom,golang,unknown,mariadb
edy-elixir-e-ranger-de-dentes,nginx,mnesia,elixir,unknown
efraim-santana,nginx,unknown,aspnet,postgres
eigr,custom,elixir,unknown,mnesia
ELESBAO,custom,NodeJs,Express,PostgresSQL
elioenaiferrari,custom,elixir,unknown,postgres
elioenaiferrari-rust,nginx,rust,unknown,postgres
elixiremfoco,nginx,elixir,phoenix,postgres
emanuel-ac-iroot-tech,nginx,python,unknown,PostgreSQL
emanuel-xavier-go,nginx,go,fiber,postgres
emanuel-xavier-rust,nginx,rust,axum,postgres
emiliosheinz-fumegalli-node,nginx,node.js,nest.js,postgresql
engylemure,nginx,rust,unknown,postgres
enohr,nginx,Go,unknown,PostgreSQL
erick-lucca-nodejs,nginx,nodejs,express,postgres
erick-oda-rust,nginx,rust,actix,postgresql
erickcestari,nginx,rust,ntex,postgres
erickmarx,nginx,unknown,bun,postgres
erickreis,nginx,unknown,bun,postgres
ericlessa,nginx,Quarkus,unknown,Postgresql
eriksilva,nginx,go,unknown,postgres
eugenio-cunha,nginx,go,fiber,postgres
eu_fountai,custom,Node,http,Postgres
exemplo,nginx,clojure,unknown,postgres
fabianoaono-java,nginx,java,quarkus,postgres
fabianoflorentino,nginx,ruby,unknown,postgres
fabiokleis,nginx,erlang,unknown,postgres
fabionaspolini,nginx,dotnet,unknown,postgres
fabionaspolini-sync,nginx,dotnet,unknown,postgres
Fabricio-net8,nginx,cpp,unknown,postgres
FaelLima98,nginx,.NET,unknown,PostgreSQL
fbourguignon,nginx,Java,micronaut,cockroach
fbourguignon-micronaut-java21-graalvm,nginx,Java,micronaut,postgres
felipe-alcantara-actor-model,custom,Go,unknown,MongoDB
felipebossolani-dotnet,nginx,dotnet,unknown,postgres
felipebossolani-dotnet9-preview,nginx,unknown,unknown,postgres
felipefrmelo,nginx,unknown,fastapi,postgres
felipefrmelo-robyn,nginx,unknown,robyn,postgres
felipefrmelo-uvicorn,nginx,unknown,uvicorn,postgres
felipelaraujo,nginx,go,unknown,postgresql
felipemarkson,nginx,C,unknown,postgres
felipemarkson-rust,rust,rust,unknown,rust
felipeoriani,nginx,C#,unknown,postgres
felipeparaujo,nginx,go,unknown,postgresql
felipeymn,nginx,go,unknown,postgres
felipma-rust,nginx,rust,axum,postgres
felipma-rust-rataria-version,nginx,rust,axum,postgres
felipph-calado-nodejs,custom,NodeJS,unknown,postgres
fernandofogliato-java,nginx,java,spring,postgres
fernandomedeiros,nginx,java,unknown,postgresql
fernandomorais,nginx,java,unknown,postgres
fernanduandrade,nginx,.NET,unknown,Postgres
fgarrido,haproxy,C#,unknown,postgres
fhgm,nginx,dotnet,unknown,postgres
fielcapao,nginx,cassandra,java,unknown
fielcapao-javaslow-no-framework,nginx,java,unknown,cassandra
filipemacedo,custom,typescript,unknown,postgres
flpStrri,custom,rust,unknown,mongodb
fraidev,nginx,rust,unknown,postgres
francoggm,nginx,go,unknown,neo4j
franklaercio,nginx,java,unknown,postgresql
ftathiago-blogdoft-csharp,nginx,unknown,unknown,postgres
ftathiago-blogdoft-csharp-aot,nginx,unknown,unknown,postgres
fwbrasil,nginx,scala,jvm,custom
g-otn,nginx,javascript,hyperexpress,postgresql
gabriel-accetta,nginx,typescript,fastify,postgres
gabriel-roque,nginx,NodeJs,unknown,PostgresSQL
gabrielbarbieri-nodejs,nginx,Node.js,unknown,postgres
gabrielfmagalhaes,nginx,java,unknown,postgres
gabrielhsferreira,custom,.NET,unknown,PostgreSQL
gabrielluciano-go,nginx,go,unknown,postgresql
gabrielluciano-vertx,nginx,java,unknown,postgres
gabrielSantosLima,nginx,Node.js,express.js,postgres
galodoido,custom,C,unknown,custom
garnizeh,nginx,go,unknown,PostgreSQL
garnizeh-alternative,nginx,go,unknown,sqlite3
garodrigues,nginx,python,fastapi,postgres
gasparbarancelli,custom,Quarkus,unknown,Postgres
gasparbarancelli-h2-database,nginx,Quarkus,unknown,H2
gasparbarancelli-java-sem-framework,nginx,java,unknown,postgres
gasparbarancelli-nginx,nginx,Quarkus,unknown,Postgres
gasparbarancelli-procedure,nginx,Quarkus,unknown,Postgres
gateixeira,nginx,golang,unknown,postgres
gavageovanni,custom,golang,echo,postgres
gavageovanni-kotlin,custom,kotlin,webflux,postgres
gbank,custom,scala,unknown,mongodb
gbfonseca,nginx,rust,unknown,mongodb
gcrispino,nginx,go,unknown,postgres
gcrispino-pgx,nginx,go,echo,postgres
geffersonFerraz-http2,caddy,Go,unknown,Mongo
geffersonFerraz-http3,custom,go,unknown,mongo
geo-aspnet,nginx,.net,unknown,postgres
geraldojrcg-elixir,nginx,elixir,phoenix,postgres
geraldojrcg-swift,custom,swift,vapor,postgres
gfds-micronaut,nginx,unknown,micronaut,postgres
ghhernandes,custom,golang,httprouter,pgx
ghost-in-the-machine-86,nginx,node,unknown,postgres
gianimpronta-springboot,nginx,java,unknown,postgres
gicornachini,nginx,python,aiohttp,postgres
gilbertojnj-java,nginx,java,spring-boot,postgres
gilmardealcantara,nginx,Golang,unknown,postgres
giovannibassi,envoy,dotnet,unknown,postgresql
giovannibassi-nonpooled,custom,.NET,unknown,Postgresql
giovannibassi-rust,envoy,rust,unknown,postgresql
giovannibassi-vb,envoy,vb,aspnet,postgresql
glauberborges,nginx,PHP,unknown,postgres
glauco-filho-01,nginx,unknown,fastapi,postgres
gldmelo,nginx,C#,unknown,postgres
gldmelo-cs-py-hibrid,nginx,C#,unknown,postgres
gldmelo-py-fastapi,nginx,C#,unknown,postgres
gmafrac-golang,nginx,golang,unknown,postgres
gmrms,nginx,kotlin,unknown,mongodb
grilario,nginx,rust,unknown,postgres
gtadashii,nginx,unknown,bun,postgres
guaracy-nim,nginx,Nim,unknown,postgres
gui9394,nginx,java,unknown,postgres
guiestimo,nginx,dotnet,unknown,postgres
guihbc,nginx,golang,fasthttp,postgres
guilherme-dotnet8,nginx,.net,unknown,postgres
guimadev-kotlin,nginx,kotlin,unknown,postgres
gusinacio,haproxy,rust,unknown,postgres
gustavo-node,nginx,nodejs,unknown,postgres
gustavo-node-v2,nginx,nodejs,unknown,postgres
gustavofbreunig,nginx,java,unknown,postgresql
gustavonovaes-go,nginx,go,unknown,postgresql
gustavoramos00,nginx,java,unknown,postgres
gustavoramos00-spring-trsfree,nginx,java,unknown,postgres
gutkedu-nodejs,custom,nodejs,unknown,postgresql
gwoliveira-no-db-lock,custom,kotlin,ktor,postgres
h4ad,nginx,nodejs,unknown,postgres
halexv,nginx,nodejs,nestjs,postgres
hallexcosta-hyperf,nginx,php,unknown,postgres
hass-rust,nginx,rust,unknown,postgres
heitor-jsr,nginx,golang,unknown,postgresql
heitor-ps,nginx,NodeJS,Express,Postgres
hendrikaraujo,haproxy,golang,unknown,postgres
henr1q-fastapi,nginx,python,fastapi,postgresql
henriqueccapozzi-django-01,nginx,python,unknown,postgres
henriqueholtz,nginx,.NET,unknown,PostgreSQL
hfurlan,nginx,go,unknown,postgresql
hfurlan-java,nginx,java,unknown,postgres
hfurlan-java-transacao-particionada,nginx,java,unknown,postgresql
hiroshimorowaka,nginx,NodeJS,Express,Postgres
hiroshimorowaka-golang,nginx,Golang,Gin-Gonic,Postgres
hlscalon-go,custom,go,unknown,postgresql
hstreb-vertx,nginx,java,vertx,PostgreSQL
ilosamart,nginx,python,unknown,postgresql
impedro29-performance,nginx,golang,unknown,nutsdb
ircnelson,nginx,C#,aspnet,postgres
isadora-souza,nginx,golang,gin,postgresql
isadora-souza-mongodb,nginx,golang,gin,mongodb
isaquealves,custom,python,fastapi,postgresql
italobbarros,nginx,golang,unknown,postgres
italopussi,nginx,python,flask,postgres
itujo,nginx,node,unknown,postgres
itujo-minimal-node-uws,nginx,node,unknown,postgres
iury-amorim,nginx,java,unknown,postgres
ives-samuel-powershell,nginx,unknown,unknown,sqlite
ivmello,nginx,golang,unknown,postgres
jairoandre,nginx,rust,actix_web,postgres
jairoandre-maggie,nginx,rust,ntex,postgres
java-cassiogangrel,custom,unknown,aspnet,postgres
jazielloureiro,nginx,go,unknown,postgresql
jcrjuliano,nginx,Java,unknown,Postgres
jefersonbaixo,nginx,elixir,unknown,postgres
jeifersonalmeida-spring,nginx,Java,unknown,PostgreSQL
jfilipedias,nginx,go,unknown,postgres
jhonnyboy,nginx,golang,unknown,mysql
jjeanjacques10,custom,Kotlin,Spring_Boot,Postgresql
jnariai,nginx,php,laravel,postgres
jndavidx,nginx,python,flask,postgres
joao-peterson,nginx,c,unknown,postgres
joao0212,custom,kotlin,spring_boot,postgres
joaobittencourt-php,nginx,PHP,unknown,postgres
joaojr13,nginx,dotnet,unknown,postgres
joaopaulosg,nginx,Java,unknown,postgres
joaopmerlin,envoy,java,unknown,postgres
joaovds,nginx,go,unknown,postgres
johnpgr_vlang,nginx,V,vweb,PostgreSQL
jojodev,nginx,python,flask,mysql
jonasfeanor,nginx,go,unknown,postgresql
jonatasoli,nginx,python,fastapi,postgres
jonathanperis,nginx,unknown,unknown,Postgresql
jonattas_bunjs,nginx,typescript,unknown,postgresql
jorgehrique-dotnet,nginx,c#,unknown,mongodb
josebaroni,nginx,go,unknown,postgresql
josebaroni-postgrest,nginx,unknown,unknown,postgres
josimarz-golang,nginx,golang,unknown,postgres
jovitcorreia,nginx,java,unknown,postgresql
jpaf,nginx,Go,gin,postgres
jpcairesf-go,nginx,go,unknown,unknown
jpcairesf-java,nginx,java,unknown,unknown
jpmoura-go,nginx,go,unknown,postgres
jrblatt,nginx,rust,unknown,postgresql
jrkessl,nginx,python,flask,postgresql
julioriffel-django,nginx,python,django,postgresql
julioriffel-fastapi,nginx,python,fastapi,postgresql
juliorovesta,nginx,dotnet,unknown,postgres
juliotsutsui-node,nginx,nodejs,express,postgres
juniodbl,nginx,java,unknown,postgres
juniorleaoo,custom,kotlin,http4k,postgres
juniorleaoo-go,custom,go,unknown,postgres
juniorleaoo-host,custom,kotlin,http4k,postgres
juniorleaoo-lbk,custom,kotlin,http4k,postgres
juniorzucareli-dotnet,nginx,C#,unknown,postgres
kaikelfalcao,nginx,php,unknown,postgres
kalelMartinho_fastapi,custom,python,fastapi,postgres
kauan-calasans,nginx,elixir,phoenix,postgresql
kauefraga-golang,nginx,go,gofiber,postgresql
kelvinromero-fastapi,nginx,python,unknown,postgres
kiro-tagama,nginx,unknown,unknown,postgres
KitsuneSemCalda,nginx,Golang,unknown,Postgres
kleytonsolinho-golang,nginx,go,unknown,mysql
klimber,nginx,Java,unknown,postgres
krymancer-dotnet,nginx,dotnet,unknown,postgres
krymancer-zig,nginx,zig,unknown,postgres
lazaronixon,custom,ruby_on_rails,unknown,sqlite
lbaesso-dotnet,nginx,dotnet,unknown,postgres
lbaesso-php,nginx,php,unknown,postgres
leandro-sousa,haproxy,cpp,drogon,postgres
leandroaa,nginx,java,unknown,postgres
lec-codes-go-rinha,nginx,golang,unknown,postgres
LeGustaLagosta,nginx,go,unknown,postgresql
leluque-micronaut-java,nginx,java,micronaut,postgresql
leodf-go,nginx,go,fiber,postgres
leoggo_golang,nginx,golang,unknown,postgres
leoggo_rust,nginx,rust,actix_web,postgres
leonardo-meireles,nginx,java,WebFlux,postgres
leonardohofling,nginx,.NET,unknown,Postgresql
leonardoksn,nginx,node,express,postgres
leonardovee,haproxy,go,unknown,postgres
leonardsoncc-go,nginx,go,unknown,postgres
leoralph,nginx,php,unknown,postgres
leosima_dotnet,nginx,cpp,unknown,postgres
levifonseca,nginx,rust,unknown,AlexDB
lfsmariz-go,nginx,go,fiber,postgres
limaenz-dotnet,nginx,dotnet,unknown,postgres
lipe1994_dotnet,nginx,csharp,aspnet,postgres
lm-bunsh,nginx,unknown,bun,sqlite3
lmtani,nginx,Go,unknown,postgres
lobomfz,nginx,unknown,bun,postgres
lobomfz-rust,nginx,rust,unknown,postgres
lpicanco,nginx,rust,unknown,postgres
lpicanco-cpp,nginx,cpp,unknown,postgres
lpicanco-moonshine,custom,rust,Axum,custom
lsfratel,custom,kotlin,ktor,postgres
lsfratel-python,custom,python,unknown,postgres
lsfratel-python-own-framework,custom,python,unknown,postgres
luan-javalin,custom,java,unknown,postgres
luanfrj-camel,nginx,Java,unknown,postgres
lubien-multi-tenant-sqlite,nginx,elixir,phoenix,sqlite
lubien-phoenixqlite,nginx,elixir,phoenix,sqlite
lucas-hsm,custom,rust,unknown,postgres
lucasdev2005,custom,Go,unknown,unknown
lucasew-go-tigerbeetle,nginx,golang,unknown,tigerbeetledb
lucasmancan,nginx,java,jooby,postgres
lucasmolinari,nginx,NodeJS,unknown,MongoDB
lucasmro,nginx,java,unknown,postgresql
lucassperez-go-crebito,nginx,go,unknown,postgres
lucasSSalgado,custom,golang,fiber,postgres
lucasSSalgadov2,custom,golang,unknown,postgres
lucaswilliameufrasio,nginx,golang,unknown,postgres
lucaswojahn,nginx,golang,unknown,postgres
lucas_delboni,nginx,unknown,ktor,postgres
lucianovilela,nginx,nodejs,unknown,postgresql
luisescosta,nginx,nodejs,unknown,postgreSQL
LuisKpBeta,nginx,C#,unknown,postgres
luizfrra,nginx,unknown,javalin,postgres
luizgribeiro-monGo,nginx,Go,unknown,MongoDB
lukaskj-ts,nginx,typescript,unknown,postgres
luuisavelino,nginx,golang,unknown,postgres
m-lnrs,nginx,python,unknown,postgres
m-lnrs-async-python,nginx,python,unknown,postgres
macgarcia,nginx,unknown,unknown,postgres
macielti,nginx,clojure,unknown,postgres
maelalvi-quarkus,nginx,java,unknown,postgres
magusd,nginx,go,unknown,unknown
mal_golang,nginx,golang,unknown,postgresql
mangar-golang,nginx,Golang,unknown,postgres
marcelo-lucas-dotnet-1,custom,.NET,unknown,Postgresql
marcelo-python-async,custom,python,unknown,postgresql
marciocg-javaquarkus,nginx,java,unknown,PostgreSQL
marciotoshio,nginx,ruby,rack,postgres
marcoagpegoraro,nginx,vlang,unknown,postgres
marcoseckart,nginx,rust,unknown,postgres
marcospaulo-go,nginx,Go,unknown,PostgreSQL
marcospaulo-java,custom,java,unknown,postgres
marcospaulo-kotlin,haproxy,Kotlin,Undertow,H2_Database
marcosprado-java-micronaut,nginx,java,unknown,postgres
marcosqueiroga,nginx,.NET,unknown,Postgresql
marcusadriano-go,nginx,golang,fiber,postgres
marcusantunius,nginx,rust,actix_web,postgres
marcusdacoregio,nginx,unknown,unknown,postgres
marcusxavierr,nginx,Go,unknown,postgres
mari-souza,nginx,C#,unknown,mysql
marincor,haproxy,golang,fiber,postgres
mariofronza-kotlin,nginx,kotlin,unknown,postgres
mateus4k,haproxy,go,unknown,postgres
mateuscolvr,custom,OCaml,unknown,PostgreSQL
mateusdeitos-node,nginx,node.js,unknown,postgres
mateusdeitos-php-swoole,nginx,php,swoole,postgres
mateuxlucax-dart,nginx,dart,unknown,postgres
mateuxlucax-quarkus,nginx,unknown,quarkus,postgres
matheus-mr,nginx,java,webflux,postgresql
matheus-trindade,nginx,go,unknown,postgres
matheusbaptistella-rust,nginx,rust,unknown,postgres
matheuscamargo,nginx,go,unknown,sqlite
matheusdojava,nginx,java,unknown,postgres
matheusfbosa,nginx,go,unknown,postgresql
matheuslao,nginx,Python,unknown,postgres
matheusleal,nginx,Node.Js,unknown,postgres
matheuswilliam,nginx,c,unknown,postgresql
matheuswilliam-java,nginx,java,unknown,postgresql
mauriciorosa-net8,nginx,cpp,unknown,postgres
mauroue,nginx,golang,unknown,postgres
maxel-uds,nginx,Java,Spring_Webflux,postgres
maxsonferovante-python,nginx,python,unknown,postgres
maxwell,nginx,c,unknown,postgres
maxwell-fs,nginx,c,unknown,in-memory
mdamaceno-ada,nginx,ada,unknown,postgresql
mdamaceno-ruby,nginx,ruby,unknown,postgresql
mdssjc-springboot-java,nginx,java,unknown,postgres
met4tron-nodejs,nginx,nodejs,unknown,postgres
mgenteluci,custom,go,unknown,postgres
micael-ortega-golang,nginx,golang,unknown,postgres
michaelalves204,nginx,ruby,unknown,postgresql
mikaelsouza,nginx,rust,axum,PostgreSQL
mourishitz-nest-js,nginx,typescript,unknown,postgres
mpsforca-vertx-kotlin,nginx,Kotlin,unknown,Postgres
mpupolv-python,nginx,python,unknown,postgres
murilochianfa,custom,cpp,unknown,mariadb
mvellasco,custom,python,falcon,postgres
my_way,nginx,ruby,unknown,postgres
nathanbahiadev__golang,nginx,go,unknown,postgres
nathanbahiadev__python,nginx,python,sanic,postgres
nathanbahiadev__typescript,nginx,TypeScript,unknown,Postgres
NathanFirmo,nginx,go,unknown,postgres
navarro,custom,Rust,unknown,espora-db
navarro-espora-embedded,custom,Rust,unknown,espora-db
newton,nginx,elixir,unknown,postgres
nicholasboari-java-puro,nginx,java,unknown,postgres
nicholasboari-spring,nginx,java,unknown,postgres
nicolasmmb,nginx,go,unknown,postgresql
nicolasmmb-dart,nginx,unknown,unknown,postgresql
nielsonrolim-ror,nginx,ruby,unknown,postgres
nmessias,nginx,php,unknown,postgres
noriller,nginx,ts,next.js,better-sqlite3
noriller-3,nginx,unknown,next.js,better-sqlite3
noriller-4,nginx,unknown,next.js,better-sqlite3
noriller-5,nginx,ts,next.js,better-sqlite3
normanfrieman,nginx,.NET,unknown,Postgresql
nosilex,nginx,go,unknown,mariadb
not4rt-rspingora,pingora,rust,actix-web,postgres
nyxawaits,nginx,go,unknown,postgres
ogabriel-elixir,nginx,elixir,phoenix,postgres
ogabriel-golang,nginx,golang,gin,postgresql
oliveiraeliel,nginx,golang,unknown,postgres
oliveiratheone-rust,nginx,rust,unknown,postgres
oloko64,nginx,rust,axum,postgres
olukkas,nginx,go,unknown,postgres
omurilo,nginx,go,unknown,mongodb
omurilo-perl,nginx,perl,unknown,sqlite
oneabrante,nginx,node.js,unknown,postgresql
oswaldolinhares-ruby-roda-sequel,custom,ruby,unknown,postgres
otonielsilva,nginx,java,unknown,postgres
oui_tecnologia,custom,c,unknown,unknown
oui_tecnologiav2,custom,c,unknown,custom
panisset-rafael,nginx,unknown,Express,postgres
PatrickChagastavares,nginx,Golang,Echo_web_framework,postgres
paulo-paes,nginx,NodeJS,unknown,PostgreSQL
paulo-paes-bun,nginx,unknown,Bun,PostgreSQL
paulohenriqu,nginx,Java,unknown,PostgreSQL
paulohenriquesn-python,nginx,python,unknown,postgres
paulo_sergio,nginx,python,FastApi,PostgreSQL
paulo_sergio_alpine,nginx,python,FastApi,PostgreSQL
pedro-azevedo-e-matheus-gomes-nodejs,nginx,nodejs,express,postgres
pedrohenriquea,nginx,go,unknown,postgres
pedrohenriquea-pgbouncer,nginx,go,unknown,postgres
PedroHenriquevr,nginx,rust,unknown,postgres
pedrolzoliveira,nginx,nodejs,unknown,postgresql
pedrolzoliveira-postgrest,custom,unknown,unknown,postgres
pedroter7,haproxy,.NET,aspnet,MariaDb
pedrovsn,nginx,java,unknown,postgresql
phaguiar-net,nginx,unknown,aspnet,postgres
picklesdog-go,nginx,golang,unknown,postgres
pietrohl,haproxy,rust,axum,postgres
ptrecenti,nginx,java,unknown,postgresql
quarkusclub,nginx,Java,Quarkus,Postgresql
quokka,custom,rust,unknown,postgres
rafaelktakahashi,nginx,rust,actix-web,postgres
rafaelleoni,traefik,golang,unknown,postgres
rafaelpadovezi,nginx,unknown,aspnet,postgresql
rafaelpadovezi-django,nginx,python,django,postgresql
